,symbol,name,price,exchange
97,BKLN,PowerShares Exchange-Traded Fund Trust,22.14,New York Stock Exchange Arca
98,IBN,ICICI Bank Limited,16.77,New York Stock Exchange
99,MPC,Marathon Petroleum Corp,55.44,New York Stock Exchange
100,EZU,iShares MSCI Eurozone,49.4,BATS Exchange
101,PM,Philip Morris International Inc,94.15,New York Stock Exchange
102,MSCI,MSCI Inc,484.03,New York Stock Exchange
103,RDN,Radian Group Inc,24.92,New York Stock Exchange
104,KO,Coca-Cola Co,53.59,New York Stock Exchange
105,SRC,Spirit Realty Capital Inc,46.01,New York Stock Exchange
106,COP,ConocoPhillips,53.04,New York Stock Exchange
107,CHK,Chesapeake Energy Corporation,46.18,New York Stock Exchange
108,DIS,Walt Disney Co,183.39,New York Stock Exchange
109,LEN,Lennar Corp,103.22,New York Stock Exchange
110,CVX,Chevron Corp,105.22,New York Stock Exchange
111,PYPL,PayPal Holdings Inc,271.09,Nasdaq Global Select
112,GDXJ,VanEck Vectors Junior Gold Miners,49.34,New York Stock Exchange Arca
113,AUY,Yamana Gold Inc,4.77,New York Stock Exchange
114,DBEF,Xtrackers MSCI EAFE Hedged Equity,36.93,New York Stock Exchange Arca
115,WMT,Walmart Inc,137.89,New York Stock Exchange
116,CLF,Cleveland-Cliffs Inc,18.35,New York Stock Exchange
117,MRK,Merck & Co Inc,77.09,New York Stock Exchange
118,MDLZ,Mondelez International Inc,60.88,Nasdaq Global Select
119,MGM,MGM Resorts International,42.02,New York Stock Exchange
120,GFI,Gold Fields Limited American Depositary Shares,9.6,New York Stock Exchange
121,KGC,Kinross Gold Corp,7.24,New York Stock Exchange
122,SCHW,Charles Schwab Corp,69.86,New York Stock Exchange
123,NBR,Nabors Industries Ltd,92.0,New York Stock Exchange
124,NVDA,NVIDIA Corp,611.07,Nasdaq Global Select
125,JNJ,Johnson & Johnson,161.98,New York Stock Exchange
126,WDC,Western Digital Corp,70.6,Nasdaq Global Select
127,BSX,Boston Scientific Corp,44.24,New York Stock Exchange
128,ON,ON Semiconductor Corp,41.45,Nasdaq Global Select
129,ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),5.21,New York Stock Exchange
130,BK,Bank of New York Mellon Corp,49.18,New York Stock Exchange
131,HMY,Harmony Gold Mining Company Limited,4.83,New York Stock Exchange
132,APA,Apache Corp,20.49,New York Stock Exchange
133,HOME,At Home Group Inc,33.59,New York Stock Exchange
134,NGD,New Gold Inc,1.71,NYSE American
135,KOS,Kosmos Energy Ltd,2.92,New York Stock Exchange
136,DAL,Delta Air Lines Inc,46.44,New York Stock Exchange
137,INFY,Infosys Limited American Depositary Shares,18.23,New York Stock Exchange
138,CCL,Carnival Corp,27.8,New York Stock Exchange
139,MFGP,Micro Focus Intl PLC ADS each representing One Ord Sh,7.08,New York Stock Exchange
140,PBR,Petroleo Brasileiro S.A.- Petrobras,8.8,New York Stock Exchange
141,DISCA,Discovery Inc,37.49,Nasdaq Global Select
142,LPI,Laredo Petroleum Inc,40.18,New York Stock Exchange
143,ABT,Abbott Laboratories,121.45,New York Stock Exchange
144,FITB,Fifth Third Bancorp,39.8,Nasdaq Global Select
145,PTEN,Patterson-UTI Energy Inc,6.81,Nasdaq Global Select
146,USB,U.S. Bancorp,58.97,New York Stock Exchange
147,BA,Boeing Co,235.46,New York Stock Exchange
148,GGB,Gerdau S.A.,6.47,New York Stock Exchange
149,JBLU,JetBlue Airways Corp,20.02,Nasdaq Global Select
