,symbol,name,price,exchange
916,CIEN,Ciena Corp,52.06,New York Stock Exchange
917,OIS,Oil States International Inc,6.0,New York Stock Exchange
918,SCCO,Southern Copper Corp,73.02,New York Stock Exchange
919,VT,Vanguard Total World Stock Index,102.16,New York Stock Exchange Arca
920,YEXT,Yext Inc,14.31,New York Stock Exchange
921,ATSG,Air Transport Services Group Inc,26.73,Nasdaq Global Select
922,REVG,REV Group Inc,18.38,New York Stock Exchange
923,ALLE,Allegion PLC,136.5,New York Stock Exchange
924,MHK,Mohawk Industries Inc,207.7,New York Stock Exchange
925,SPWH,Sportsmans Warehouse Holdings Inc,17.6,Nasdaq Global Select
926,TWNK,Hostess Brands Inc,15.49,Nasdaq Capital Market
927,EQIX,Equinix Inc,707.38,Nasdaq Global Select
928,GRA,W R Grace & Co,68.66,New York Stock Exchange
929,VNTR,Venator Materials PLC,4.85,New York Stock Exchange
930,SUM,Summit Materials Inc,28.42,New York Stock Exchange
931,RDFN,Redfin Corp,70.04,Nasdaq Global Select
932,ERJ,Embraer S.A.,11.73,New York Stock Exchange
933,UNM,Unum Group,28.91,New York Stock Exchange
934,NJR,New Jersey Resources Corp,41.58,New York Stock Exchange
935,ORBC,ORBCOMM Inc,11.47,Nasdaq Global Select
936,NNN,National Retail Properties Inc,46.68,New York Stock Exchange
937,PAGP,Plains GP Holdings LP,9.69,New York Stock Exchange
938,TNA,Direxion Small Cap Bull 3X Shares,98.83,New York Stock Exchange Arca
939,LIVN,LivaNova PLC,86.34,Nasdaq Global Select
940,CTAS,Cintas Corp,345.2,Nasdaq Global Select
941,REGI,Renewable Energy Group Inc,58.07,Nasdaq Global Select
942,VRNT,Verint Systems Inc,48.97,Nasdaq Global Select
943,HAS,Hasbro Inc,98.0,Nasdaq Global Select
944,AOS,A. O. Smith Corp,66.54,New York Stock Exchange
945,DGX,Quest Diagnostics Inc,131.68,New York Stock Exchange
946,CUZ,Cousins Properties Inc,36.51,New York Stock Exchange
947,HALO,Halozyme Therapeutics Inc,51.02,Nasdaq Global Select
948,SGMO,Sangamo Therapeutics Inc,12.33,Nasdaq Global Select
949,KTOS,Kratos Defense and Security Solutions Inc,27.25,Nasdaq Global Select
950,FIS,Fidelity National Information Services Inc,154.43,New York Stock Exchange
951,SCHX,Schwab U.S. Large-Cap,101.41,New York Stock Exchange Arca
952,TRN,Trinity Industries Inc,28.25,New York Stock Exchange
953,SPGI,S&P Global Inc,380.08,New York Stock Exchange
954,BHF,Brighthouse Financial Inc,46.52,Nasdaq Global Select
955,RYAAY,Ryanair Holdings plc American Depositary Shares each representing five Ordinary Shares,114.57,Nasdaq Global Select
956,AN,AutoNation Inc,102.68,New York Stock Exchange
957,WDAY,Workday Inc,260.89,Nasdaq Global Select
958,ABR,Arbor Realty Trust Inc,17.78,New York Stock Exchange
959,MCK,Mckesson Corp,187.94,New York Stock Exchange
960,VC,Visteon Corp,123.99,Nasdaq Global Select
961,ROIC,Retail Opportunity Investments Corp,17.52,Nasdaq Global Select
962,MUX,McEwen Mining Inc,1.18,New York Stock Exchange
963,IEX,IDEX Corp,225.0,New York Stock Exchange
964,MXIM,Maxim Integrated Products Inc,94.58,Nasdaq Global Select
965,ASHR,Xtrackers Harvest CSI 300 China A-Shares,39.72,New York Stock Exchange Arca
966,IJH,iShares Core S&P Mid-Cap,275.5,New York Stock Exchange Arca
967,GSVC,GSV Capital Corp,6.83,Nasdaq Capital Market
968,INN,Summit Hotel Properties Inc,10.39,New York Stock Exchange
969,ITOT,iShares Core S&P Total U.S. Stock Market,96.58,New York Stock Exchange Arca
970,FAZ,Direxion Financial Bear 3X Shares,29.26,New York Stock Exchange Arca
971,SH,ProShares Short S&P500,15.91,New York Stock Exchange Arca
972,TROX,Tronox Holdings PLC,21.21,New York Stock Exchange
973,OEC,Orion Engineered Carbons SA,19.78,New York Stock Exchange
974,ATH,Athene Holding Ltd,59.89,New York Stock Exchange
975,CSOD,Cornerstone OnDemand Inc,45.18,Nasdaq Global Select
976,ABC,Amerisourcebergen Corp,119.33,New York Stock Exchange
977,EFX,Equifax Inc,227.3,New York Stock Exchange
978,DPZ,Domino's Pizza Inc,403.95,New York Stock Exchange
979,ENLC,EnLink Midstream LLC,4.9,New York Stock Exchange
980,TTM,Tata Motors Ltd Limited,20.43,New York Stock Exchange
981,OHI,Omega Healthcare Investors Inc,38.55,New York Stock Exchange
982,VOO,Vanguard S&P 500,383.56,New York Stock Exchange Arca
983,SUI,Sun Communities Inc,163.03,New York Stock Exchange
984,SIVB,SVB Financial Group,571.81,Nasdaq Global Select
985,MPLX,MPLX LP,27.23,New York Stock Exchange
986,EC,Ecopetrol S.A. American Depositary Shares,12.66,New York Stock Exchange
987,FIVE,Five Below Inc,197.39,Nasdaq Global Select
988,LPLA,LPL Financial Holdings Inc,152.62,Nasdaq Global Select
989,SEIC,SEI Investments Co,60.92,Nasdaq Global Select
990,SIX,Six Flags Entertainment Corp,47.91,New York Stock Exchange
991,VEEV,Veeva Systems Inc,286.54,New York Stock Exchange
992,FORM,FormFactor Inc,47.97,Nasdaq Global Select
993,BRKS,Brooks Automation Inc,107.47,Nasdaq Global Select
994,VIG,Vanguard Div Appreciation,152.29,New York Stock Exchange Arca
995,NVO,Novo Nordisk A/S,74.12,New York Stock Exchange
996,SWK,Stanley Black & Decker Inc,206.55,New York Stock Exchange
997,SNDR,Schneider National Inc,23.73,New York Stock Exchange
998,MZOR,Mazor Robotics Ltd.,58.24,Nasdaq Global Market
999,VNDA,Vanda Pharmaceuticals Inc,16.74,Nasdaq Global Market
1000,HTHT,Huazhu Group Ltd,60.35,Nasdaq Global Select
1001,EW,Edwards Lifesciences Corp,96.78,New York Stock Exchange
1002,SKT,Tanger Factory Outlet Centers Inc,18.47,New York Stock Exchange
1003,ROK,Rockwell Automation Inc,266.25,New York Stock Exchange
1004,PENN,Penn National Gaming Inc,92.85,Nasdaq Global Select
1005,AMRN,Amarin Corporation PLC,5.19,Nasdaq Global Market
1006,ALL,Allstate Corp,125.35,New York Stock Exchange
1007,IONS,Ionis Pharmaceuticals Inc,43.56,Nasdaq Global Select
1008,APRN,"Blue Apron Holdings, Inc.",6.14,New York Stock Exchange
1009,KRNY,Kearny Financial Corp,12.59,Nasdaq Global Select
1010,SBAC,SBA Communications Corp,297.88,Nasdaq Global Select
1011,MFC,Manulife Financial Corp,21.74,New York Stock Exchange
1012,ZTS,Zoetis Inc,171.72,New York Stock Exchange
1013,BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),71.33,New York Stock Exchange
1014,UA,Under Armour Inc. Class C,19.77,New York Stock Exchange
1015,AROC,Archrock Inc,9.77,New York Stock Exchange
1016,THO,Thor Industries Inc,142.79,New York Stock Exchange
1017,BGNE,BeiGene Ltd.,351.52,Nasdaq Global Select
1018,WB,Weibo Corp,51.95,Nasdaq Global Select
1019,KT,KT Corporation,12.89,New York Stock Exchange
1020,BOTZ,Global X Robotics & Artificial Intelligence ETF,35.06,Nasdaq Global Market
1021,TGNA,Tegna Inc,20.54,New York Stock Exchange
1022,CHGG,Chegg Inc,95.4,New York Stock Exchange
1023,HYD,VanEck Vectors High Yield Municipal Index,62.62,New York Stock Exchange Arca
1024,WM,Waste Management Inc,136.23,New York Stock Exchange
1025,ASX,Advanced Semiconductor Engineering Inc.,8.56,New York Stock Exchange
1026,BDSI,BioDelivery Sciences International Inc,3.48,Nasdaq Capital Market
1027,THRM,Gentherm Inc,76.06,Nasdaq Global Select
1028,UMPQ,Umpqua Holdings Corp,18.71,Nasdaq Global Select
1029,ALB,Albemarle Corp,169.4,New York Stock Exchange
1030,RHI,Robert Half International Inc,87.68,New York Stock Exchange
1031,HLT,Hilton Worldwide Holdings Inc,129.11,New York Stock Exchange
1032,DNOW,NOW Inc,9.94,New York Stock Exchange
1033,WPG,Washington Prime Group Inc,2.42,New York Stock Exchange
1034,PNFP,Pinnacle Financial Partners Inc,88.63,Nasdaq Global Select
1035,DRH,Diamondrock Hospitality Co,10.5,New York Stock Exchange
1036,OC,Owens Corning,94.92,New York Stock Exchange
1037,CUBE,CubeSmart,41.28,New York Stock Exchange
1038,GLPI,Gaming and Leisure Properties Inc,46.03,Nasdaq Global Select
1039,CBOE,Cboe Global Markets Inc,102.71,Nasdaq Global Select
1040,RDNT,RadNet Inc,22.44,Nasdaq Global Market
1041,AGRO,Adecoagro SA,9.55,New York Stock Exchange
1042,AL,Air Lease Corp,48.27,New York Stock Exchange
1043,AMJ,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN,17.95,New York Stock Exchange Arca
1044,EVH,Evolent Health Inc,21.68,New York Stock Exchange
1045,UIS,Unisys Corp,23.97,New York Stock Exchange
1046,JELD,JELD-WEN Holding Inc,30.73,New York Stock Exchange
1047,TDG,TransDigm Group Inc,605.26,New York Stock Exchange
1048,LITE,Lumentum Holdings Inc,94.45,Nasdaq Global Select
1049,STAY,Extended Stay America Inc,19.8,Nasdaq Global Select
1050,TCF,TCF Financial Corp,45.5,Nasdaq Global Select
1051,RY,Royal Bank of Canada,95.56,New York Stock Exchange
1052,ROST,Ross Stores Inc,128.52,Nasdaq Global Select
1053,SYK,Stryker Corp,259.58,New York Stock Exchange
1054,REI,Ring Energy Inc,2.22,NYSE American
1055,HR,Healthcare Realty Trust Inc,32.12,New York Stock Exchange
1056,TRV,Travelers Companies Inc,153.79,New York Stock Exchange
1057,CSL,Carlisle Companies Inc,191.55,New York Stock Exchange
1058,GWRE,Guidewire Software Inc,107.26,New York Stock Exchange
1059,ANET,Arista Networks Inc,320.76,New York Stock Exchange
1060,PCRX,Pacira Biosciences Inc,63.58,Nasdaq Global Select
1061,CSIQ,Canadian Solar Inc,44.01,Nasdaq Global Select
1062,ICHR,Ichor Holdings Ltd,59.42,Nasdaq Global Select
1063,WSM,Williams-Sonoma Inc,176.05,New York Stock Exchange
1064,EXP,Eagle Materials Inc,142.65,New York Stock Exchange
1065,BWA,Borgwarner Inc,50.46,New York Stock Exchange
1066,SWCH,Switch Inc,18.47,New York Stock Exchange
1067,APLE,Apple Hospitality REIT Inc,15.67,New York Stock Exchange
1068,ADS,Alliance Data Systems Corp,107.84,New York Stock Exchange
1069,DRQ,Dril-Quip Inc,30.05,New York Stock Exchange
1070,AXS,AXIS Capital Holdings Ltd,54.3,New York Stock Exchange
1071,JNUG,Direxion Daily Junior Gold Miners Index Bull 3X Shares,93.14,New York Stock Exchange Arca
1072,MTDR,Matador Resources Co,25.7,New York Stock Exchange
1073,CAJ,Canon Inc. American Depositary Shares,23.84,New York Stock Exchange
1074,CNI,Canadian National Railway Co,108.99,New York Stock Exchange
1075,TLND,Talend SA,64.32,Nasdaq Global Market
1076,ILMN,Illumina Inc,405.54,Nasdaq Global Select
1077,ISRG,Intuitive Surgical Inc,868.79,Nasdaq Global Select
1078,CAL,Caleres Inc,24.89,New York Stock Exchange
1079,SAP,SAP SE ADS,144.08,New York Stock Exchange
1080,ESNT,Essent Group Ltd,53.44,New York Stock Exchange
1081,NMFC,New Mountain Finance Corp,13.16,New York Stock Exchange
1082,BLDP,Ballard Power Systems Inc,22.71,Nasdaq Global Market
1083,OI,O-I Glass Inc,15.78,New York Stock Exchange
1084,MDU,MDU Resources Group Inc,33.05,New York Stock Exchange
1085,PSXP,Phillips 66 Partners LP,36.75,New York Stock Exchange
1086,EPI,WisdomTree India Earnings Fund,31.31,New York Stock Exchange Arca
1087,CREE,Cree Inc,112.73,Nasdaq Global Select
1088,CWH,Camping World Holdings Inc,45.23,New York Stock Exchange
1089,DECK,Deckers Outdoor Corp,349.58,New York Stock Exchange
1090,COHR,Coherent Inc,267.54,Nasdaq Global Select
1091,ACWI,iShares MSCI ACWI Index Fund,99.88,Nasdaq Global Market
1092,SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),7.06,New York Stock Exchange
1093,FULT,Fulton Financial Corp,17.23,Nasdaq Global Select
1094,UNIT,Uniti Group Inc,11.17,Nasdaq Global Select
1095,LAZ,Lazard Ltd,46.12,New York Stock Exchange
1096,CASY,Caseys General Stores Inc,224.37,Nasdaq Global Select
1097,PODD,Insulet Corp,303.18,Nasdaq Global Select
1098,NEXA,Nexa Resources SA,10.47,New York Stock Exchange
1099,UCO,ProShares Ultra Bloomberg Crude Oil,60.71,New York Stock Exchange Arca
1100,MATW,Matthews International Corp,42.83,Nasdaq Global Select
1101,PLNT,Planet Fitness Inc,84.47,New York Stock Exchange
1102,CAH,Cardinal Health Inc,60.08,New York Stock Exchange
1103,AYI,Acuity Brands Inc,187.84,New York Stock Exchange
1104,DVA,DaVita Inc,113.31,New York Stock Exchange
1105,CHUBK,CommerceHub Inc.,22.73,Nasdaq Global Market
1106,AMPE,Ampio Pharmaceuticals Inc,1.98,NYSE American
1107,REGN,Regeneron Pharmaceuticals Inc,487.77,Nasdaq Global Select
1108,MELI,Mercadolibre Inc,1622.0,Nasdaq Global Select
1109,SGMS,Scientific Games Corp,59.06,Nasdaq Global Select
1110,WCN,Waste Connections Inc,117.23,New York Stock Exchange
1111,IMMR,Immersion Corp,8.95,Nasdaq Global Select
1112,VKTX,Viking Therapeutics Inc,6.36,Nasdaq Capital Market
1113,MYOV,Myovant Sciences Ltd,20.68,New York Stock Exchange
1114,ABM,ABM Industries Inc,52.4,New York Stock Exchange
1115,NGL,NGL Energy Partners LP,2.15,New York Stock Exchange
1116,ARCO,Arcos Dorados Holdings Inc,5.41,New York Stock Exchange
1117,HEWJ,iShares Currency Hedged MSCI Japan,37.88,New York Stock Exchange Arca
1118,TYME,Tyme Technologies Inc,1.59,Nasdaq Capital Market
1119,UNG,United States Natural Gas Fund LP,10.58,New York Stock Exchange Arca
1120,GST,Gastar Exploration Inc,0.06,NYSE American
1121,MGPI,MGP Ingredients Inc,62.21,Nasdaq Global Select
1122,NTES,NetEase Inc.,114.27,Nasdaq Global Select
1123,LTRPA,Liberty Tripadvisor Holdings Inc,5.22,Nasdaq Global Select
1124,LNC,Lincoln National Corp,64.79,New York Stock Exchange
1125,NGG,National Grid Transco PLC PLC (NEW) American Depositary Shares,62.48,New York Stock Exchange
1126,TQQQ,ProShares UltraPro QQQ,108.63,Nasdaq Global Market
1127,SND,Smart Sand Inc,2.55,Nasdaq Global Select
1128,SCHF,Schwab International Equity,39.26,New York Stock Exchange Arca
1129,GTES,Gates Industrial Corporation PLC,17.51,New York Stock Exchange
1130,CMA,Comerica Inc,73.36,New York Stock Exchange
1131,ALK,Alaska Air Group Inc,68.65,New York Stock Exchange
1132,PFG,Principal Financial Group Inc,63.69,Nasdaq Global Select
1133,HUM,Humana Inc,438.62,New York Stock Exchange
1134,TEX,Terex Corp,48.65,New York Stock Exchange
1135,STFC,State Auto Financial Corp,18.65,Nasdaq Global Select
1136,SAND,Sandstorm Gold Ltd,7.79,NYSE American
1137,JWN,Nordstrom Inc,38.19,New York Stock Exchange
1138,HDSN,Hudson Technologies Inc,2.05,Nasdaq Capital Market
1139,HFC,HollyFrontier Corp,35.73,New York Stock Exchange
1140,PQG,PQ Group Holdings Inc,14.27,New York Stock Exchange
1141,EDU,New Oriental Education & Technology Group Inc,16.04,New York Stock Exchange
1142,ESRT,Empire State Realty Trust Inc,11.15,New York Stock Exchange
1143,SCHD,Schwab US Dividend Equity,74.28,New York Stock Exchange Arca
1144,LBRT,Liberty Oilfield Services Inc,12.2,New York Stock Exchange
1145,PEB,Pebblebrook Hotel Trust,24.63,New York Stock Exchange
1146,TSN,Tyson Foods Inc,77.33,New York Stock Exchange
1147,HSBC,HSBC Holdings plc.,30.83,New York Stock Exchange
1148,OMI,Owens & Minor Inc,36.84,New York Stock Exchange
1149,PTC,PTC Inc,148.29,Nasdaq Global Select
1150,CDW,CDW Corp,182.03,Nasdaq Global Select
1151,EWI,iShares Inc MSCI Italy,32.29,New York Stock Exchange Arca
1152,SBGI,Sinclair Broadcast Group Inc,33.74,Nasdaq Global Select
1153,RSP,Guggenheim S&P 500 Equal Weight,148.39,New York Stock Exchange Arca
1154,MMP,Magellan Midstream Partners LP,47.01,New York Stock Exchange
1155,PLAY,Dave & Buster's Entertainment Inc,46.5,Nasdaq Global Select
1156,EGOV,NIC Inc,34.0,Nasdaq Global Select
1157,HDB,HDFC Bank Limited,74.22,New York Stock Exchange
1158,TSE,Trinseo SA,63.63,New York Stock Exchange
1159,WAL,Western Alliance Bancorp,106.2,New York Stock Exchange
1160,SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250),7.69,New York Stock Exchange
1161,ARE,Alexandria Real Estate Equities Inc,178.51,New York Stock Exchange
1162,EMLC,VanEck Vectors J.P. Morgan EM Local Currency Bond,31.38,New York Stock Exchange Arca
1163,EXAS,Exact Sciences Corp,135.92,Nasdaq Capital Market
1164,TRGP,Targa Resources Corp,34.53,New York Stock Exchange
1165,LYV,Live Nation Entertainment Inc,82.42,New York Stock Exchange
1166,MFA,MFA Financial Inc,4.39,New York Stock Exchange
1167,ECL,Ecolab Inc,222.07,New York Stock Exchange
1168,RESN,Resonant Inc,3.63,Nasdaq Capital Market
1169,ELY,Callaway Golf Co,29.8,New York Stock Exchange
1170,ARES,Ares Management Corp,56.13,New York Stock Exchange
1171,DDD,3D Systems Corp,22.83,New York Stock Exchange
1172,MKC,McCormick & Company Inc,89.32,New York Stock Exchange
1173,WAFD,Washington Federal Inc,32.95,Nasdaq Global Select
1174,BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,7.62,New York Stock Exchange
1175,CQP,Cheniere Energy Partners LP,42.12,NYSE American
1176,PETQ,PetIQ Inc,43.93,Nasdaq Global Select
1177,RMD,Resmed Inc,210.14,New York Stock Exchange
1178,IRDM,Iridium Communications Inc,38.3,Nasdaq Global Select
1179,BKU,BankUnited Inc,46.47,New York Stock Exchange
1180,H,Hyatt Hotels Corp,83.22,New York Stock Exchange
1181,MDXG,MiMedx Group Inc,10.71,Nasdaq Capital Market
1182,EXPR,Express Inc,3.28,New York Stock Exchange
1183,AVB,Avalonbay Communities Inc,191.35,New York Stock Exchange
1184,INCY,Incyte Corp,84.89,Nasdaq Global Select
1185,LBRDK,Liberty Broadband Corporation,158.34,Nasdaq Global Select
1186,NVCN,Neovasc Inc,0.9797,Nasdaq Capital Market
1187,TRMB,Trimble Inc,83.46,Nasdaq Global Select
1188,CVEO,Civeo Corp,17.09,New York Stock Exchange
1189,TDOC,Teladoc Health Inc,186.31,New York Stock Exchange
1190,TRU,TransUnion,104.03,New York Stock Exchange
1191,SOGO,Sogou Inc,8.45,New York Stock Exchange
1192,XYL,Xylem Inc,111.26,New York Stock Exchange
1193,MOAT,VanEck Vectors Morningstar Wide Moat,72.55,New York Stock Exchange Arca
1194,ACGL,Arch Capital Group Ltd,39.49,Nasdaq Global Select
1195,SFUN,Fang Holdings Ltd,11.74,New York Stock Exchange
1196,SBNY,Signature Bank,252.78,Nasdaq Global Select
1197,GRFS,Grifols S.A.,17.9,Nasdaq Global Select
1198,DY,Dycom Industries Inc,96.77,New York Stock Exchange
1199,MGP,MGM Growth Properties LLC,35.72,New York Stock Exchange
1200,SONY,Sony Corporation,104.49,New York Stock Exchange
1201,MAA,Mid-America Apartment Communities Inc,154.02,New York Stock Exchange
1202,AEL,American Equity Investment Life Holding Co,31.39,New York Stock Exchange
1203,GOGO,Gogo Inc,11.1,Nasdaq Global Select
1204,DBC,PowerShares DB Commodity Index Trac,17.94,New York Stock Exchange Arca
1205,WES,Western Midstream Partners LP,20.37,New York Stock Exchange
1206,QUAD,Quad/Graphics Inc,3.85,New York Stock Exchange
1207,RYN,Rayonier Inc,36.42,New York Stock Exchange
1208,SYNA,Synaptics Inc,143.91,Nasdaq Global Select
1209,VSTO,Vista Outdoor Inc,32.6,New York Stock Exchange
1210,BHVN,Biohaven Pharmaceutical Holding Company Ltd,75.01,New York Stock Exchange
1211,PPG,PPG Industries Inc,172.55,New York Stock Exchange
1212,ORI,Old Republic International Corp,24.44,New York Stock Exchange
1213,TPC,Tutor Perini Corp,16.62,New York Stock Exchange
1214,XHR,Xenia Hotels & Resorts Inc,19.2,New York Stock Exchange
1215,MC,Moelis & Co,56.75,New York Stock Exchange
1216,DDS,Dillard's Inc,98.34,New York Stock Exchange
1217,TMST,TimkenSteel Corp,12.56,New York Stock Exchange
1218,FR,First Industrial Realty Trust Inc,48.69,New York Stock Exchange
1219,NMIH,NMI Holdings Inc,25.45,Nasdaq Global Market
1220,MTCH,Match Group Inc,159.13,Nasdaq Global Select
1221,TRHC,Tabula Rasa HealthCare Inc,44.19,Nasdaq Global Market
1222,XNET,Xunlei Ltd,5.59,Nasdaq Global Select
1223,CIG,Comp En De Mn Cemig ADS American Depositary Shares,2.59,New York Stock Exchange
1224,HAIN,Hain Celestial Group Inc,40.99,Nasdaq Global Select
1225,GSY,Guggenheim Ultra Short Duration,50.48,New York Stock Exchange Arca
1226,CUK,Carnival Plc ADS ADS,23.98,New York Stock Exchange
1227,ECHO,Echo Global Logistics Inc,31.09,Nasdaq Global Select
1228,MSI,Motorola Solutions Inc,188.6,New York Stock Exchange
1229,PDCE,PDC Energy Inc,37.28,Nasdaq Global Select
1230,FNV,Franco-Nevada Corp,142.0,New York Stock Exchange
1231,LPSN,LivePerson Inc,56.42,Nasdaq Global Select
1232,TELL,Tellurian Inc,2.26,Nasdaq Capital Market
1233,KMX,Carmax Inc,134.09,New York Stock Exchange
1234,LFC,China Life Insurance Company Limited American Depositary Shares,10.28,New York Stock Exchange
1235,ESPR,Esperion Therapeutics Inc,27.46,Nasdaq Global Market
1236,BRX,Brixmor Property Group Inc,22.17,New York Stock Exchange
1237,LH,Laboratory Corporation of America Holdings,262.71,New York Stock Exchange
1238,AKAO,Achaogen Inc.,0.11,Nasdaq Global Market
1239,PLCE,Children's Place Inc,80.25,Nasdaq Global Select
1240,NBHC,National Bank Holdings Corp,40.55,New York Stock Exchange
1241,FND,Floor & Decor Holdings Inc,114.73,New York Stock Exchange
1242,MOH,Molina Healthcare Inc,248.66,New York Stock Exchange
1243,FUL,HB Fuller Co,68.12,New York Stock Exchange
1244,MRC,MRC Global Inc,9.06,New York Stock Exchange
1245,EXR,Extra Space Storage Inc,146.58,New York Stock Exchange
1246,SCHL,Scholastic Corp,30.48,Nasdaq Global Select
1247,CPG,Crescent Point Energy Corp,4.01,New York Stock Exchange
1248,ADTN,ADTRAN Inc,17.65,Nasdaq Global Select
1249,WHR,Whirlpool Corp,235.45,New York Stock Exchange
1250,HSY,Hershey Co,158.86,New York Stock Exchange
1251,HTGM,HTG Molecular Diagnostics Inc,4.52,Nasdaq Capital Market
1252,SEAS,SeaWorld Entertainment Inc,53.46,New York Stock Exchange
1253,BECN,Beacon Roofing Supply Inc,56.01,Nasdaq Global Select
1254,BPOP,Popular Inc,73.73,Nasdaq Global Select
1255,IEV,iShares Europe,53.2,New York Stock Exchange Arca
1256,PGRE,Paramount Group Inc,10.43,New York Stock Exchange
1257,COO,Cooper Companies Inc,407.06,New York Stock Exchange
1258,JT,Jianpu Technology Inc,2.87,New York Stock Exchange
1259,WRI,Weingarten Realty Investors,32.03,New York Stock Exchange
1260,COMM,CommScope Holding Company Inc,16.55,Nasdaq Global Select
1261,ABEO,Abeona Therapeutics Inc,1.68,Nasdaq Capital Market
1262,CPT,Camden Property Trust,118.77,New York Stock Exchange
1263,SHOP,Shopify Inc,1288.8,New York Stock Exchange
1264,RETA,Reata Pharmaceuticals Inc,103.79,Nasdaq Global Market
1265,MWA,Mueller Water Products Inc,14.63,New York Stock Exchange
1266,BLUE,bluebird bio Inc,30.39,Nasdaq Global Select
1267,EIDO,iShares MSCI Indonesia,21.74,New York Stock Exchange Arca
1268,GWB,Great Western Bancorp Inc,32.73,New York Stock Exchange
1269,SOXS,Direxion Daily Semiconductor Bear 3x Shares,8.95,New York Stock Exchange Arca
1270,WPRT,Westport Fuel Systems Inc,7.13,Nasdaq Global Select
1271,CORT,Corcept Therapeutics Inc,23.76,Nasdaq Capital Market
1272,BOOT,Boot Barn Holdings Inc,72.13,New York Stock Exchange
1273,ALEX,Alexander & Baldwin Inc. REIT Holding Company,17.98,New York Stock Exchange
1274,VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,51.95,Nasdaq Global Market
1275,TKR,Timken Co,86.8,New York Stock Exchange
1276,RL,Ralph Lauren Corp,132.29,New York Stock Exchange
1277,DBA,PowerShares DB Agriculture Fund,18.37,New York Stock Exchange Arca
1278,XXII,22nd Century Group Inc,5.62,NYSE American
1279,CLGX,Corelogic Inc,79.67,New York Stock Exchange
1280,AXGN,AxoGen Inc,18.525,Nasdaq Capital Market
1281,MASI,Masimo Corp,232.44,Nasdaq Global Select
1282,OKTA,Okta Inc,281.84,Nasdaq Global Select
1283,TD,Toronto-Dominion Bank,68.77,New York Stock Exchange
1284,BRO,Brown & Brown Inc,52.43,New York Stock Exchange
1285,ALSN,Allison Transmission Holdings Inc,42.96,New York Stock Exchange
1286,FAF,First American Financial Corp,65.8,New York Stock Exchange
1287,BRKR,Bruker Corp,69.43,Nasdaq Global Select
1288,G,Genpact Ltd,47.67,New York Stock Exchange
1289,CFX,Colfax Corp,45.68,New York Stock Exchange
1290,PANW,Palo Alto Networks Inc,360.16,New York Stock Exchange
1291,GPC,Genuine Parts Co,124.69,New York Stock Exchange
1292,ELP,Companhia Paranaense de Energia (COPEL),5.78,New York Stock Exchange
1293,KMPR,Kemper Corp,81.9,New York Stock Exchange
1294,BGS,B&G Foods Inc,29.05,New York Stock Exchange
1295,NBIX,Neurocrine Biosciences Inc,97.7,Nasdaq Global Select
1296,CHKP,Check Point Software Technologies Ltd,117.63,Nasdaq Global Select
1297,JAZZ,Jazz Pharmaceuticals PLC,165.15,Nasdaq Global Select
1298,CMCO,Columbus McKinnon Corp,53.97,Nasdaq Global Select
1299,CRS,Carpenter Technology Corp,42.5,New York Stock Exchange
1300,AMC,AMC Entertainment Holdings Inc,10.85,New York Stock Exchange
1301,BVN,Buenaventura Mining Company Inc.,9.88,New York Stock Exchange
1302,EXK,Endeavour Silver Corp,5.68,New York Stock Exchange
1303,BLK,BlackRock Inc,816.28,New York Stock Exchange
1304,IMO,Imperial Oil Ltd,27.01,NYSE American
1305,UUP,PowerShares DB USD Index Bullish,24.37,New York Stock Exchange Arca
1306,CATM,Cardtronics PLC,38.83,Nasdaq Global Select
1307,POR,Portland General Electric Co,49.61,New York Stock Exchange
1308,BBL,BHP Billiton plc Sponsored ADR,62.59,New York Stock Exchange
1309,GCI,Gannett Co Inc,4.68,New York Stock Exchange
1310,RWX,SPDR DJ Wilshire Intl Real Estate,36.33,New York Stock Exchange Arca
1311,DYN,Dynegy Inc.,18.97,New York Stock Exchange
1312,ORLY,O'Reilly Automotive Inc,528.95,Nasdaq Global Select
1313,HDV,iShares Core High Dividend,95.48,New York Stock Exchange Arca
1314,FFIV,F5 Networks Inc,186.7,Nasdaq Global Select
1315,PHB,PowerShares High Yield Corporate Bond Portfolio,19.39,New York Stock Exchange Arca
1316,KNL,Knoll Inc,23.85,New York Stock Exchange
1317,HOG,Harley-Davidson Inc,49.92,New York Stock Exchange
1318,STWD,Starwood Property Trust Inc,25.83,New York Stock Exchange
1319,PRTA,Prothena Corporation PLC,26.66,Nasdaq Global Select
1320,UNVR,Univar Solutions Inc,23.75,New York Stock Exchange
1321,TUP,Tupperware Brands Corp,25.12,New York Stock Exchange
1322,FSM,Fortuna Silver Mines Inc,6.14,New York Stock Exchange
1323,XIN,Xinyuan Real Estate Co Ltd,2.54,New York Stock Exchange
1324,SCWX,SecureWorks Corp,13.5,Nasdaq Global Select
1325,PAAS,Pan American Silver Corp,32.98,Nasdaq Global Select
